"A2";"A3";"A8";"A11";"A14";"A16";"A1";"A4";"A5";"A6";"A7";"A9";"A10";"A12";"A13";"Acc_Kredit"
"range2";"range1";"range2";"range2";"range2";"range1";"b";"u";"g";"w";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range1";"range3";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range2";"range1";"range2";"range1";"range3";"range3";"a";"u";"g";"q";"h";"t";"f";"f";"g";"+"
"range2";"range2";"range3";"range3";"range1";"range2";"b";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range1";"range2";"range1";"b";"u";"g";"w";"v";"t";"f";"f";"s";"+"
"range2";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"m";"v";"t";"f";"t";"g";"+"
"range2";"range1";"range3";"range1";"range2";"range3";"b";"u";"g";"r";"h";"t";"f";"t";"g";"+"
"range1";"range3";"range1";"range1";"range1";"range3";"a";"u";"g";"cc";"v";"t";"f";"f";"g";"+"
"range3";"range1";"range3";"range1";"range2";"range3";"b";"y";"p";"k";"h";"t";"f";"f";"g";"+"
"range3";"range2";"range3";"range1";"range1";"range3";"b";"y";"p";"w";"v";"t";"f";"t";"g";"+"
"range1";"range1";"range3";"range1";"range2";"range1";"b";"u";"g";"c";"h";"f";"f";"t";"g";"+"
"range2";"range2";"range3";"range1";"range3";"range3";"b";"u";"g";"c";"h";"t";"f";"f";"g";"+"
"range3";"range3";"range2";"range1";"range1";"range1";"a";"u";"g";"k";"v";"t";"f";"t";"g";"+"
"range3";"range3";"range1";"range1";"range1";"range3";"b";"u";"g";"k";"v";"f";"f";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"a";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range3";"range2";"range1";"range3";"range3";"range1";"b";"y";"p";"k";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range3";"range1";"b";"u";"g";"m";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range3";"range3";"range2";"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range1";"range1";"range2";"range1";"range1";"range1";"b";"u";"g";"d";"h";"t";"f";"t";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range1";"a";"u";"g";"cc";"h";"t";"t";"f";"g";"+"
"range2";"range3";"range3";"range3";"range2";"range3";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range1";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"c";"v";"t";"f";"f";"s";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range2";"range2";"range2";"a";"u";"g";"x";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range2";"range3";"range2";"range1";"a";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range1";"range1";"range2";"range3";"range1";"range1";"a";"u";"g";"c";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"a";"u";"g";"i";"bb";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"d";"bb";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"e";"h";"t";"t";"f";"g";"+"
"range3";"range1";"range3";"range3";"range3";"range3";"b";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range2";"range1";"b";"u";"g";"aa";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"x";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"i";"bb";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range1";"range1";"range3";"a";"u";"g";"e";"v";"t";"f";"t";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range3";"range2";"b";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range3";"range3";"range3";"b";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range3";"range3";"range3";"a";"u";"g";"x";"h";"t";"t";"t";"g";"+"
"range2";"range1";"range1";"range3";"range3";"range3";"b";"y";"p";"cc";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"ff";"ff";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"h";"t";"t";"f";"g";"+"
"range2";"range1";"range2";"range2";"range3";"range2";"b";"u";"g";"w";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range2";"b";"y";"p";"c";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"h";"t";"t";"t";"g";"+"
"range3";"range2";"range1";"range3";"range3";"range3";"a";"y";"p";"q";"h";"t";"t";"t";"g";"+"
"range2";"range2";"range3";"range3";"range3";"range3";"b";"u";"g";"cc";"h";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range1";"range2";"range1";"b";"u";"g";"i";"bb";"f";"f";"f";"g";"+"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"+"
"range2";"range1";"range2";"range1";"range3";"range1";"a";"u";"g";"c";"h";"t";"f";"t";"g";"+"
"range2";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"q";"v";"t";"f";"t";"g";"+"
"range3";"range2";"range1";"range1";"range3";"range3";"b";"u";"g";"w";"v";"t";"f";"t";"g";"+"
"range3";"range2";"range1";"range1";"range3";"range3";"b";"u";"g";"w";"v";"t";"f";"t";"g";"+"
"range2";"range2";"range3";"range1";"range1";"range1";"b";"u";"g";"cc";"h";"t";"f";"t";"g";"+"
"range1";"range3";"range2";"range1";"range2";"range3";"b";"y";"p";"w";"v";"t";"f";"t";"g";"+"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"u";"g";"cc";"v";"t";"f";"f";"g";"+"
"range3";"range1";"range3";"range1";"range3";"range1";"b";"u";"g";"i";"h";"t";"f";"t";"g";"+"
"range3";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"x";"h";"f";"f";"t";"s";"+"
"range3";"range2";"range3";"range3";"range1";"range1";"b";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range2";"range3";"range2";"range1";"b";"u";"g";"m";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"d";"v";"t";"t";"f";"g";"+"
"range1";"range1";"range2";"range3";"range1";"range3";"a";"y";"p";"q";"v";"t";"t";"t";"g";"+"
"range1";"range1";"range2";"range2";"range1";"range1";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range2";"range2";"range1";"b";"u";"g";"cc";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range2";"range3";"range3";"b";"u";"g";"cc";"v";"t";"t";"t";"g";"+"
"range3";"range1";"range2";"range3";"range1";"range3";"a";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range2";"range1";"range1";"range3";"range3";"range3";"b";"u";"g";"m";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"b";"u";"g";"w";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range2";"range2";"range3";"range3";"b";"u";"g";"x";"h";"t";"t";"t";"g";"+"
"range2";"range3";"range2";"range1";"range3";"range1";"b";"u";"g";"e";"bb";"t";"f";"t";"s";"-"
"range3";"range2";"range3";"range1";;"range1";"b";"u";"g";"d";"bb";"t";"f";"t";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range1";"a";"u";"g";"cc";"v";"t";"f";"t";"g";"-"
"range3";"range1";"range3";"range1";"range3";"range1";"b";"u";"g";"m";"v";"t";"f";"f";"s";"-"
"range3";"range3";"range2";"range1";"range2";"range2";"b";"y";"p";"c";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range2";"range2";"range2";"range1";"b";"u";"g";"q";"v";"t";"t";"f";"g";"-"
"range2";"range3";"range1";"range1";"range3";"range1";"b";"u";"g";"aa";"v";"t";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range1";"a";"y";"p";"aa";"v";"t";"f";"t";"g";"-"
"range1";"range1";"range3";"range2";"range2";"range2";"b";"y";"p";"k";"v";"t";"t";"f";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range1";"b";"u";"g";"c";"v";"t";"f";"f";"g";"-"
"range3";"range3";"range1";"range2";"range1";"range1";"b";"u";"g";"ff";"ff";"t";"t";"f";"g";"-"
"range2";"range1";"range2";"range1";"range3";"range1";"a";"u";"g";"m";"v";"t";"f";"f";"s";"-"
"range3";"range1";"range1";"range1";"range3";"range1";"b";"u";"g";"m";"v";"t";"f";"f";"s";"-"
;"range2";"range3";"range1";"range3";"range1";"a";"u";"g";"d";"v";"t";"f";"t";"g";"-"
"range2";"range1";"range2";"range1";"range2";"range1";"b";"u";"g";"aa";"v";"t";"f";"t";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"c";"bb";"t";"f";"t";"s";"-"
;"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"d";"v";"t";"f";"t";"s";"-"
"range2";"range2";"range3";"range1";"range2";"range1";"b";"y";"p";"aa";"v";"t";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range1";"b";"u";"g";"aa";"v";"t";"f";"t";"g";"-"
"range3";"range1";"range1";"range1";"range1";"range2";"a";"u";"g";"j";"j";"t";"f";"t";"g";"-"
"range3";"range3";"range3";"range1";"range2";"range1";"b";"y";"p";"c";"h";"t";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range2";"range1";"b";"u";"g";"c";"v";"t";"f";"f";"g";"-"
;"range2";"range3";"range1";"range1";"range1";"b";"y";"p";"aa";"v";"t";"f";"f";"g";"-"
"range3";"range1";"range3";"range1";"range2";"range2";"b";"y";"p";"c";"h";"t";"f";"t";"g";"-"
"range2";"range1";"range2";"range1";"range1";"range3";"b";"y";"p";"c";"v";"t";"f";"t";"g";"-"
"range2";"range2";"range2";"range1";"range2";"range1";"a";"u";"g";"i";"bb";"t";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range2";"b";"y";"p";"aa";"v";"t";"f";"f";"g";"-"
;"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"c";"bb";"t";"f";"t";"s";"-"
"range1";"range3";"range3";"range1";"range3";"range1";"a";"y";"p";"q";"v";"t";"f";"t";"g";"-"
"range2";"range1";"range2";"range3";"range2";"range3";"a";"u";"g";"q";"v";"t";"t";"t";"g";"-"
"range3";"range2";"range1";"range1";"range2";"range3";"b";"y";"p";"c";"bb";"t";"f";"t";"g";"-"
"range3";"range3";"range3";"range1";"range1";"range1";"b";"y";"p";"c";"v";"t";"f";"f";"g";"-"
"range1";"range2";"range2";"range3";"range1";"range2";"b";"u";"g";"q";"v";"t";"t";"f";"g";"-"
"range2";"range3";"range3";"range3";"range2";"range2";"b";"u";"g";"k";"v";"t";"t";"t";"g";"-"
"range2";"range2";"range3";"range3";"range1";"range1";"b";"y";"p";"i";"h";"t";"t";"t";"g";"-"
"range3";"range3";"range1";"range3";"range2";"range2";"b";"u";"g";"e";"z";"t";"t";"f";"g";"-"
"range2";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"k";"v";"t";"f";"f";"s";"-"
"range2";"range3";"range3";"range1";"range2";"range1";"a";"y";"p";"aa";"v";"t";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range2";"range1";"b";"y";"p";"x";"h";"t";"f";"t";"g";"-"
"range1";"range1";"range2";"range3";"range2";"range2";"a";"u";"g";"c";"v";"t";"t";"t";"g";"-"
"range2";"range2";"range3";"range3";"range3";"range1";"b";"u";"g";"w";"v";"t";"t";"t";"g";"-"
"range2";"range1";"range2";"range3";"range2";"range2";"a";"y";"p";"ff";"ff";"t";"t";"f";"g";"-"
"range2";"range3";"range2";"range1";"range3";"range1";"b";"u";"g";"w";"v";"t";"f";"t";"g";"-"
"range2";"range1";"range2";"range3";"range2";"range1";"a";"u";"g";"k";"bb";"t";"t";"t";"g";"-"
"range1";"range1";"range2";"range3";"range2";"range3";"b";"y";"p";"c";"h";"t";"t";"t";"g";"-"
"range2";"range1";"range2";"range3";"range2";"range1";"a";"u";"g";"q";"v";"t";"t";"f";"g";"-"
"range3";"range3";"range3";"range3";"range3";"range2";"b";"u";"g";"q";"h";"t";"t";"t";"g";"-"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"k";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"m";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range2";"range1";"range2";"a";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range3";"range3";"range1";"range2";"range2";"range3";"b";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range2";"range3";"range2";"range3";"range2";"range3";"b";"u";"g";"cc";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range2";"range3";"range2";"range3";"a";"u";"g";"aa";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"a";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range3";"range3";"range2";"range1";"a";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range3";"range2";"range3";"range3";"range1";"range3";"b";"u";"g";"x";"h";"t";"t";"t";"g";"+"
"range3";"range2";"range3";"range3";"range3";"range3";"b";"u";"g";"m";"bb";"t";"t";"t";"g";"+"
"range1";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range3";"range3";"range3";"range3";"b";"u";"g";"i";"bb";"t";"t";"f";"g";"+"
"range2";"range2";"range2";"range1";"range3";"range1";"a";"u";"g";"w";"v";"t";"f";"f";"s";"+"
"range3";"range3";"range3";"range2";"range1";"range1";"b";"u";"g";"e";"z";"t";"t";"t";"g";"+"
"range1";"range2";"range3";"range2";"range1";"range2";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range3";"range3";"a";"u";"g";"e";"bb";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"bb";"t";"t";"f";"g";"+"
"range2";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"q";"h";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range1";"range3";"range1";"b";"u";"g";"q";"h";"t";"f";"t";"g";"+"
"range3";"range1";"range2";"range3";"range2";"range3";"b";"y";"p";"aa";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range3";"range2";"range1";"b";"u";"g";"m";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range2";"range2";"range2";"range3";"range2";"range1";"a";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range3";"range3";"range1";"range3";"range1";"range3";"a";"u";"g";"j";"ff";"t";"t";"f";"g";"+"
"range3";"range1";"range2";"range3";"range1";"range3";"b";"y";"p";"cc";"h";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range2";"range1";"range3";"b";"u";"g";"w";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range3";"range3";"range3";"b";"u";"g";"cc";"h";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range3";"range2";"range3";"b";"u";"g";"cc";"h";"t";"t";"f";"g";"+"
"range1";"range1";"range3";"range3";"range1";"range3";"b";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"y";"p";"q";"h";"t";"t";"f";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"c";"bb";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range3";"range1";"range2";"range3";"range3";"range2";"a";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"m";"h";"t";"t";"t";"g";"+"
"range1";"range2";"range2";"range3";"range1";"range3";"b";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range3";"range3";"range1";"range1";"b";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range1";"range3";"range1";"range3";"range1";"range1";"a";"y";"p";"j";"j";"t";"t";"t";"g";"+"
"range2";"range2";"range3";"range2";"range1";"range1";"a";"y";"p";"x";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range1";"range3";"range1";"range3";"a";"u";"g";"e";"z";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range3";"range2";"range1";"b";"u";"g";"k";"h";"t";"t";"t";"g";"+"
"range2";"range1";"range1";"range2";"range3";"range3";"b";"y";"p";"m";"bb";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range3";"range2";"range3";"b";"u";"g";"x";"h";"t";"t";"f";"g";"+"
"range3";"range2";"range2";"range3";"range1";"range2";"b";"u";"g";"m";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range2";"range3";"range2";"b";"u";"g";"x";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range1";"range1";"range3";"range1";"b";"y";"p";"e";"h";"t";"f";"t";"g";"+"
"range3";"range3";"range3";"range1";"range1";"range3";"a";"u";"g";"q";"v";"t";"f";"t";"g";"+"
"range3";"range3";"range2";"range1";"range1";"range3";"a";"u";"g";"q";"h";"t";"f";"f";"g";"+"
"range1";"range3";"range2";"range1";"range1";"range3";"b";"u";"g";"q";"v";"t";"f";"t";"g";"+"
"range2";"range1";"range1";"range1";"range3";"range3";"a";"u";"g";"cc";"v";"t";"f";"f";"g";"+"
"range3";"range2";"range3";"range1";"range2";"range3";"b";"u";"g";"q";"h";"t";"f";"t";"g";"+"
"range3";"range1";"range2";"range1";"range3";"range1";"b";"y";"p";"d";"v";"f";"f";"t";"g";"+"
"range2";"range2";"range1";"range1";"range3";"range1";"a";"y";"p";"aa";"v";"t";"f";"t";"g";"+"
"range3";"range1";"range3";"range1";"range1";"range1";"b";"u";"g";"c";"bb";"t";"f";"f";"g";"+"
"range3";"range3";"range3";"range1";"range1";"range3";"b";"u";"g";"k";"h";"t";"f";"t";"g";"+"
"range3";"range3";"range3";"range1";"range1";"range1";"a";"u";"g";"k";"h";"t";"f";"t";"g";"+"
"range1";"range3";"range2";"range1";"range1";"range1";"b";"u";"g";"q";"h";"t";"f";"f";"g";"+"
"range2";"range1";"range2";"range1";"range3";"range3";"b";"y";"p";"w";"v";"t";"f";"t";"g";"+"
"range2";"range3";"range3";"range1";"range1";"range1";"b";"u";"g";"aa";"v";"t";"f";"t";"s";"+"
"range2";"range3";"range2";"range1";"range2";"range2";"a";"u";"g";"aa";"v";"t";"f";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"b";"u";"g";"aa";"v";"t";"t";"f";"g";"+"
"range3";"range1";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"bb";"t";"t";"f";"g";"+"
"range1";"range2";"range2";"range3";"range1";"range1";"a";"u";"g";"i";"bb";"t";"t";"f";"s";"+"
"range1";"range2";"range1";"range3";"range1";"range2";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range3";"range3";"range2";"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range2";"range3";"b";"u";"g";"c";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range2";"range1";"range3";"b";"u";"g";"aa";"bb";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range2";"range1";"range3";"range3";"range3";"range3";"a";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range3";"range1";"range1";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range1";"range3";"range3";"range1";"range1";"range1";"b";"u";"g";"c";"v";"t";"f";"t";"g";"+"
"range3";"range1";"range3";"range1";"range3";"range1";"b";"u";"g";"i";"h";"t";"f";"f";"g";"+"
"range3";"range1";"range3";"range1";"range3";"range3";"b";"u";"g";"x";"v";"t";"f";"f";"g";"+"
"range1";"range2";"range3";"range3";"range1";"range1";"b";"y";"p";"w";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range3";"range2";"range1";"b";"y";"p";"i";"bb";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range3";"range2";"range2";"b";"y";"p";"c";"bb";"t";"t";"t";"g";"+"
"range2";"range2";"range3";"range3";"range3";"range1";"b";"y";"p";"x";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"w";"h";"t";"t";"f";"g";"+"
"range2";"range2";"range2";"range3";"range3";"range3";"b";"y";"p";"aa";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range1";"range3";"range1";"range3";"b";"u";"g";"x";"v";"t";"t";"f";"g";"+"
"range1";"range1";"range2";"range2";"range1";"range3";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range3";"range1";"range3";"range1";"range1";"range3";"a";"u";"g";"i";"bb";"t";"f";"t";"g";"+"
"range2";"range2";"range3";"range3";;"range3";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range1";"a";"u";"g";"q";"v";"t";"t";"t";"g";"+"
"range3";"range2";"range1";"range2";"range1";"range3";"b";"y";"p";"w";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range3";"range1";"range1";"range1";;"range1";"a";"?";"?";"?";"?";"f";"f";"f";"p";"+"
"range2";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range2";"range3";"b";"u";"g";"k";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range2";"range3";"b";"u";"g";"c";"bb";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range3";"range1";"b";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range1";"range1";"range1";"b";"y";"p";"d";"v";"t";"f";"t";"s";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"ff";"ff";"t";"t";"t";"g";"+"
"range1";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"i";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range2";"range2";"range1";"b";"y";"p";"cc";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"aa";"v";"t";"f";"f";"s";"+"
"range3";"range2";"range3";"range3";"range3";"range1";"b";"u";"g";"cc";"h";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"ff";"ff";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"e";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"y";"p";"c";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range2";"range1";"a";"u";"g";"aa";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"e";"z";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range1";"range1";"range1";"a";"u";"g";"aa";"v";"t";"f";"t";"g";"+"
"range1";"range3";"range1";"range1";"range1";"range1";"a";"u";"g";"aa";"v";"t";"f";"f";"g";"+"
"range3";"range3";"range1";"range1";"range3";"range1";"a";"u";"g";"q";"v";"t";"f";"t";"g";"+"
"range1";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"c";"bb";"t";"f";"t";"g";"+"
"range1";"range3";"range2";"range1";"range1";"range1";"b";"u";"g";"k";"v";"t";"f";"f";"g";"+"
"range1";"range3";"range3";"range1";"range2";"range1";"a";"y";"p";"x";"v";"f";"f";"f";"g";"+"
"range1";"range1";"range2";"range3";"range1";"range1";"b";"u";"g";"q";"v";"t";"t";"t";"g";"+"
