"A2";"A3";"A8";"A11";"A14";"A16";"A1";"A4";"A5";"A6";"A7";"A9";"A10";"A12";"A13";"Acc_Kredit"
"range1";"range3";"range2";"range1";"range1";"range1";"b";"u";"g";"cc";"v";"t";"f";"f";"g";"+"
"range2";"range2";"range2";"range3";"range1";"range3";"b";"u";"g";"cc";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range3";"range3";"a";"u";"g";"x";"v";"t";"t";"t";"g";"+"
"range2";"range2";"range3";"range3";"range3";"range3";"b";"u";"g";"x";"h";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range1";"range3";"range3";"b";"u";"g";"w";"v";"t";"f";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"i";"bb";"t";"t";"f";"g";"+"
"range1";"range2";"range3";"range3";"range2";"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range2";"range1";"range1";"range1";"range1";"range1";"b";"u";"g";"i";"bb";"t";"f";"t";"g";"+"
"range1";"range3";"range2";"range2";"range1";"range3";"b";"u";"g";"aa";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range1";"range1";"range1";"b";"u";"g";"q";"v";"t";"f";"f";"s";"+"
"range3";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"x";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range3";"range1";"range1";"range1";"b";"y";"p";"c";"v";"t";"f";"f";"s";"+"
"range3";"range3";"range2";"range3";"range2";"range2";"b";"u";"g";"w";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range1";"range1";"range1";"b";"u";"g";"w";"v";"t";"f";"t";"g";"+"
"range1";"range3";"range3";"range3";;"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range1";"range2";"range2";"range3";"range2";"range3";"b";"u";"g";"i";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range2";"range2";"range3";"b";"y";"p";"c";"h";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range2";"range1";"range3";"b";"u";"g";"cc";"h";"t";"t";"t";"g";"+"
"range1";"range1";"range1";"range3";"range1";"range2";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"?";"u";"g";"c";"bb";"t";"t";"f";"g";"+"
"range1";"range3";"range1";"range3";"range2";"range1";"b";"u";"g";"x";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"e";"z";"t";"t";"f";"g";"+"
"range3";"range2";"range3";"range3";"range3";"range1";"b";"u";"g";"q";"h";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"x";"h";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range2";"range1";"range1";"b";"u";"g";"x";"h";"t";"t";"f";"g";"+"
;"range1";"range1";"range1";"range3";"range3";"b";"u";"g";"k";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range2";"range1";"range3";"range2";"b";"u";"g";"c";"h";"f";"f";"f";"g";"-"
"range1";"range3";"range2";"range1";"range2";"range1";"b";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range1";"b";"u";"g";"d";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range3";"a";"u";"g";"i";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range1";"a";"y";"p";"c";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"d";"h";"f";"f";"t";"g";"-"
"range3";"range1";"range1";"range1";"range1";"range1";"a";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range3";"range1";"range2";"range1";"range1";"range2";"a";"u";"g";"i";"o";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range2";"a";"y";"p";"x";"h";"f";"f";"t";"g";"-"
"range3";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range3";"b";"y";"p";"c";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"y";"p";"e";"dd";"f";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range3";"range1";"a";"u";"g";"d";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range1";"range1";"range3";"range1";"b";"u";"g";"q";"v";"t";"f";"t";"g";"+"
"range1";"range1";"range1";"range1";"range2";"range2";"b";"u";"g";"q";"n";"f";"f";"f";"g";"+"
"range3";"range1";"range1";"range1";;"range1";"b";"?";"?";"?";"?";"f";"f";"f";"p";"+"
"range2";"range2";"range2";"range1";"range3";"range1";"b";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range1";"b";"y";"p";"m";"v";"f";"f";"f";"g";"-"
"range3";"range3";"range1";"range1";"range2";"range1";"b";"y";"p";"k";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"cc";"h";"f";"f";"t";"s";"-"
"range1";"range3";"range2";"range1";"range2";"range1";"b";"u";"g";"d";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range1";"range3";"a";"u";"g";"i";"h";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range3";"range1";"a";"y";"p";"q";"h";"f";"f";"f";"g";"-"
"range2";"range3";"range1";"range1";;"range1";"b";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"m";"v";"t";"f";"f";"s";"-"
"range1";"range1";"range1";"range1";"range3";"range3";"b";"y";"p";"c";"h";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range3";"range2";"b";"y";"p";"cc";"h";"f";"f";"f";"g";"-"
"range1";"range2";"range1";"range1";"range1";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"s";"-"
"range1";"range1";"range1";"range2";"range2";"range2";"a";"u";"g";"q";"v";"f";"t";"f";"g";"-"
"range1";"range3";"range1";"range3";"range1";"range3";"b";"u";"g";"c";"v";"f";"t";"f";"g";"-"
"range1";"range3";"range1";"range2";"range2";"range2";"b";"u";"g";"w";"h";"f";"t";"f";"g";"-"
;"range1";"range1";"range3";"range2";"range2";"a";"u";"g";"ff";"ff";"f";"t";"t";"g";"-"
"range2";"range1";"range1";"range2";"range3";"range3";"b";"u";"g";"w";"v";"f";"t";"f";"g";"-"
"range1";"range1";"range1";"range2";"range2";"range2";"b";"y";"p";"c";"v";"f";"t";"f";"g";"-"
"range1";"range2";"range1";"range1";"range2";"range1";"a";"y";"p";"j";"j";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"m";"v";"f";"f";"t";"s";"-"
"range1";"range3";"range2";"range2";"range2";"range2";"a";"u";"g";"w";"v";"f";"t";"f";"g";"-"
"range2";"range1";"range1";"range2";"range3";"range3";"b";"u";"g";"w";"v";"f";"t";"f";"g";"-"
"range3";"range2";"range1";"range3";"range2";"range2";"b";"u";"g";"w";"v";"f";"t";"f";"g";"-"
"range1";"range1";"range1";"range2";"range2";"range2";"a";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range2";"range2";"range3";"range3";"range2";"range2";"a";"u";"g";"ff";"ff";"f";"t";"t";"g";"-"
"range3";"range3";"range3";"range2";"range1";"range2";"b";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range2";"range2";"range2";"range3";"range3";"range1";"b";"u";"g";"aa";"v";"f";"t";"t";"g";"-"
"range1";"range2";"range2";"range2";"range1";"range2";"b";"u";"g";"aa";"v";"f";"t";"f";"g";"-"
"range1";"range3";"range3";"range3";"range2";"range3";"b";"u";"g";"c";"v";"f";"t";"t";"g";"-"
"range3";"range2";"range3";"range2";"range1";"range2";"a";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range1";"range1";"range1";"range1";"range3";"range1";"b";"u";"g";"d";"v";"f";"f";"t";"s";"-"
"range1";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"c";"v";"f";"f";"t";"s";"-"
"range1";"range2";"range1";"range1";"range2";"range1";"a";"u";"g";"q";"v";"f";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range3";"range2";"a";"u";"g";"q";"h";"f";"f";"f";"g";"-"
"range3";"range3";"range1";"range1";"range1";"range1";"b";"y";"p";"ff";"ff";"t";"f";"t";"g";"-"
"range1";"range2";"range3";"range1";"range2";"range2";"b";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range3";"range2";"range1";"range1";"range1";"b";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"k";"h";"f";"f";"t";"s";"-"
"range2";"range2";"range1";"range1";"range2";"range2";"a";"y";"p";"j";"j";"f";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range2";"a";"u";"g";"w";"v";"f";"f";"t";"g";"-"
"range1";"range2";"range3";"range1";"range2";"range2";"b";"y";"p";"c";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range2";"a";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range2";"range1";"range1";"range2";"a";"u";"g";"d";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"y";"p";"aa";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"m";"v";"t";"f";"t";"s";"-"
"range1";"range1";"range1";"range1";"range3";"range3";"b";"y";"p";"c";"h";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range3";"range3";"b";"l";"gg";"ff";"o";"f";"f";"t";"p";"+"
"range1";"range1";"range1";"range1";"range3";"range2";"b";"y";"p";"m";"bb";"f";"f";"t";"s";"+"
"range3";"range1";"range2";"range1";"range3";"range2";"b";"y";"p";"c";"v";"f";"f";"t";"g";"+"
"range1";"range1";"range2";"range1";"range2";"range2";"b";"u";"g";"w";"v";"f";"f";"f";"g";"+"
"range1";"range1";"range3";"range1";"range3";"range1";"a";"l";"gg";"cc";"ff";"f";"f";"t";"s";"+"
"range2";"range1";"range2";"range1";"range3";"range2";"a";"u";"g";"cc";"v";"f";"f";"f";"g";"+"
"range3";"range1";"range1";"range3";"range3";"range3";"b";"y";"p";"k";"v";"t";"t";"f";"g";"+"
"range2";"range1";"range2";"range1";"range2";"range1";"b";"u";"g";"w";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range2";"range1";"range3";"range2";"a";"y";"p";"x";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range3";"b";"y";"p";"c";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range2";"range1";"range3";"range1";"?";"u";"g";"i";"bb";"f";"f";"f";"s";"-"
"range3";"range2";"range3";"range1";"range2";"range1";"b";"y";"p";"w";"v";"f";"f";"f";"s";"-"
;"range2";"range1";"range1";"range3";"range1";"b";"y";"p";"i";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";;"range1";"b";"?";"?";"?";"?";"f";"f";"f";"p";"-"
"range2";"range2";"range3";"range1";"range1";"range2";"a";"y";"p";"c";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range2";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range2";"range3";"a";"u";"g";"d";"v";"f";"f";"t";"g";"-"
"range3";"range2";"range2";"range1";"range3";"range1";"b";"u";"g";"cc";"bb";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range3";"b";"u";"g";"q";"h";"f";"f";"t";"g";"-"
"range3";"range3";"range2";"range1";"range1";"range3";"b";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range2";"range1";"range2";"range1";"a";"y";"p";"i";"h";"f";"f";"t";"g";"-"
"range2";"range2";"range2";"range1";"range2";"range1";"a";"y";"p";"aa";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range2";"b";"u";"g";"w";"v";"f";"f";"t";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range1";"a";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range1";"range1";"range2";"range2";"b";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range3";"b";"u";"g";"i";"bb";"f";"f";"t";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"i";"bb";"f";"f";"f";"g";"-"
"range3";"range2";"range2";"range1";"range3";"range2";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
"range3";"range3";"range1";"range1";"range1";"range2";"b";"u";"g";"e";"z";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range3";"range2";"?";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range3";"range1";"range2";"range3";"b";"y";"p";"c";"bb";"f";"f";"f";"g";"-"
"range3";"range1";"range2";"range3";"range2";"range1";"b";"u";"g";"c";"v";"t";"t";"t";"g";"-"
"range2";"range1";"range3";"range2";"range1";"range2";"b";"u";"g";"w";"v";"f";"t";"t";"g";"-"
"range2";"range2";"range1";"range1";"range3";"range2";"a";"u";"g";"j";"j";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range3";"range2";"range1";"range1";"range3";"b";"y";"p";"m";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range2";"range1";"range1";"range1";"b";"u";"g";"d";"v";"f";"f";"t";"s";"-"
"range3";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"i";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range3";"range3";"range2";"a";"u";"g";"aa";"v";"f";"t";"t";"g";"-"
"range3";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"d";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range3";"range1";"a";"u";"g";"q";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"d";"v";"f";"f";"t";"g";"-"
"range3";"range2";"range1";"range1";"range2";"range1";"a";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range3";"range3";"range1";"range1";"range1";"a";"u";"g";"k";"v";"f";"f";"t";"s";"-"
"range1";"range2";"range1";"range1";"range1";"range3";"b";"u";"g";"ff";"ff";"f";"f";"t";"g";"-"
"range2";"range1";"range1";"range1";"range1";"range1";"b";"u";"g";"k";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range1";"b";"y";"p";"k";"v";"f";"f";"f";"s";"-"
"range2";"range2";"range1";"range3";"range3";"range3";"b";"u";"g";"e";"dd";"f";"t";"f";"g";"-"
"range3";"range1";"range3";"range2";"range3";"range2";"b";"u";"g";"m";"v";"f";"t";"t";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range3";"a";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range1";"range1";"range3";"range1";"b";"y";"p";"m";"v";"f";"f";"f";"s";"-"
"range1";"range3";"range3";"range1";"range1";"range2";"a";"y";"p";"k";"h";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range2";"b";"y";"p";"r";"n";"f";"f";"t";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range1";"b";"y";"p";"w";"v";"f";"f";"t";"g";"-"
"range2";"range3";"range1";"range1";"range2";"range3";"b";"u";"g";"e";"dd";"f";"f";"t";"g";"-"
"range3";"range2";"range2";"range1";"range3";"range1";"a";"u";"g";"k";"h";"f";"f";"t";"s";"-"
"range2";"range2";"range1";"range1";"range1";"range1";"b";"u";"g";"w";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range3";"range3";"?";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range3";"range1";"a";"y";"p";"e";"dd";"f";"f";"f";"g";"-"
"range2";"range3";"range1";"range1";"range1";"range3";"b";"u";"g";"d";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range3";"range1";"b";"y";"p";"c";"v";"f";"f";"t";"s";"-"
"range2";"range1";"range1";"range1";"range3";"range3";"b";"u";"g";"i";"bb";"f";"f";"t";"g";"-"
"range2";"range1";"range3";"range1";"range3";"range1";"b";"u";"g";"i";"bb";"f";"f";"t";"s";"-"
"range3";"range2";"range3";"range1";"range2";"range1";"b";"u";"g";"i";"bb";"f";"f";"t";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range1";"a";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range3";"range1";"range2";"range3";"a";"y";"p";"i";"bb";"f";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range1";"range2";"a";"y";"p";"ff";"ff";"f";"f";"t";"g";"-"
"range1";"range3";"range2";"range1";"range1";"range3";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
"range2";"range3";"range2";"range1";"range1";"range1";"b";"y";"p";"c";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range2";"b";"y";"p";"aa";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range1";"range1";"b";"u";"g";"c";"v";"f";"f";"t";"s";"-"
"range2";"range3";"range1";"range1";"range2";"range1";"b";"u";"g";"i";"bb";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"u";"g";"m";"v";"f";"f";"f";"s";"-"
"range1";"range3";"range2";"range1";"range3";"range1";"b";"u";"g";"e";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range1";"range1";"range3";"range1";"b";"u";"g";"i";"bb";"f";"f";"f";"g";"-"
"range2";"range3";"range1";"range1";"range3";"range1";"b";"u";"g";"aa";"bb";"f";"f";"t";"g";"-"
"range2";"range1";"range2";"range1";"range2";"range2";"b";"u";"g";"m";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range1";"range1";"range1";"range3";"b";"y";"p";"w";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range1";"range1";"a";"u";"g";"d";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range2";"b";"y";"p";"x";"h";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range2";"a";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range1";"range2";"b";"y";"p";"k";"h";"f";"f";"t";"g";"-"
"range2";"range2";"range1";"range1";"range3";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range3";"b";"y";"p";"j";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range2";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range3";"range3";"range3";"range1";"range1";"range1";"a";"u";"g";"i";"bb";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range1";"a";"u";"g";"q";"v";"f";"f";"f";"s";"-"
"range2";"range3";"range2";"range1";"range3";"range1";"b";"y";"p";"i";"bb";"f";"f";"t";"g";"-"
"range3";"range3";"range1";"range1";"range1";"range1";"a";"u";"g";"ff";"ff";"f";"f";"f";"s";"-"
"range3";"range3";"range1";"range3";;"range2";"a";"y";"p";"k";"v";"f";"t";"f";"g";"-"
"range1";"range1";"range2";"range2";"range3";"range2";"a";"y";"p";"c";"v";"f";"t";"f";"g";"-"
"range1";"range2";"range1";"range2";"range1";"range2";"b";"u";"g";"w";"v";"f";"t";"f";"g";"-"
"range1";"range1";"range2";"range3";"range2";"range2";"b";"u";"g";"q";"v";"f";"t";"f";"g";"-"
"range2";"range2";"range1";"range3";"range2";"range2";"b";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range2";"range2";"range2";"range2";"range1";"range2";"b";"u";"g";"c";"v";"f";"t";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range1";"a";"u";"g";"i";"v";"f";"f";"f";"g";"-"
"range3";"range1";"range1";"range1";"range3";"range1";"b";"u";"g";"i";"bb";"f";"f";"f";"s";"-"
"range1";"range1";"range1";"range1";"range3";"range2";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range3";"range1";"range3";"range1";"a";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range2";"b";"y";"p";"k";"v";"f";"f";"f";"g";"-"
"range1";"range2";"range2";"range1";"range2";"range2";"b";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range2";"range3";"range2";"range3";"b";"u";"g";"c";"v";"f";"t";"f";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range2";"a";"y";"p";"ff";"ff";"f";"f";"t";"g";"-"
"range3";"range2";"range2";"range1";"range2";"range1";"b";"u";"g";"i";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range2";"b";"u";"g";"q";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range2";"range1";"range2";"range1";"b";"u";"g";"w";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range2";"range1";"range1";"range1";"b";"u";"g";"cc";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range2";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"p";"-"
"range2";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range2";"a";"u";"g";"w";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range1";"range1";"range2";"range2";"b";"u";"g";"e";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range1";"range1";"range2";"range2";"b";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range1";"b";"y";"p";"cc";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range2";"range1";"range2";"range2";"b";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range2";"range1";"range1";"range2";"range3";"b";"y";"p";"c";"v";"f";"f";"f";"g";"-"
"range1";"range2";"range1";"range1";"range3";"range1";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
"range2";"range1";"range2";"range1";"range2";"range1";"b";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range3";"range1";"range2";"b";"y";"p";"ff";"ff";"f";"t";"f";"g";"-"
"range1";"range1";"range1";"range3";"range3";"range3";"b";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range3";"range1";"range1";"range1";"range1";"range2";"a";"u";"g";"ff";"ff";"f";"f";"t";"s";"-"
"range2";"range1";"range1";"range2";"range1";"range3";"a";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range2";"range1";"range2";"range3";"range2";"range2";"b";"u";"g";"k";"v";"f";"t";"t";"g";"-"
"range1";"range1";"range2";"range3";"range1";"range1";"b";"u";"g";"k";"v";"f";"t";"f";"s";"-"
"range3";"range2";"range1";"range3";"range1";"range2";"b";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range2";"range2";"range1";"range1";"range1";"range1";"b";"y";"p";"m";"v";"f";"f";"t";"s";"-"
"range1";"range2";"range1";"range1";"range2";"range2";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"a";"y";"p";"j";"ff";"f";"f";"f";"g";"-"
;"range3";"range1";"range1";;"range3";"a";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range1";"range3";"range2";"a";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range2";"range1";"range2";"b";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range1";"range3";"range2";"range1";"range1";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
;"range2";"range3";"range1";"range1";"range2";"b";"y";"p";"i";"bb";"f";"f";"f";"g";"-"
"range3";"range2";"range2";"range1";"range1";"range3";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range2";"b";"u";"g";"q";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range3";"range1";"?";"u";"g";"w";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range3";"range1";"range1";"range3";"b";"u";"g";"d";"v";"f";"f";"t";"g";"-"
"range3";"range3";"range1";"range1";"range3";"range3";"b";"u";"g";"w";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";;"range1";"b";"?";"?";"?";"?";"f";"f";"f";"p";"-"
"range2";"range1";"range1";"range1";"range3";"range1";"b";"y";"p";"c";"v";"f";"f";"f";"g";"-"
"range3";"range3";"range3";"range1";"range2";"range3";"b";"u";"g";"i";"bb";"f";"f";"f";"g";"-"
