Monetary (c.c. blood),Recency (months),Frequency (times),Time (months),whether he/she donated blood in March 2007
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range1 [-inf - 11.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range4 [28.500 - 40.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range1 [-inf - 11.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range3 [21.500 - 28.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range2 [11.500 - 21.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range4 [28.500 - 40.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range2 [11.500 - 21.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range2 [11.500 - 21.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range2 [11.500 - 21.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range2 [11.500 - 21.500],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range2 [11.500 - 21.500],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range3 [21.500 - 28.500],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range3 [21.500 - 28.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range3 [4.500 - 7.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range3 [21.500 - 28.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range4 [28.500 - 40.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range3 [21.500 - 28.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range1 [-inf - 2.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range4 [1125 - 1625],range4 [7.500 - 13.500],range4 [4.500 - 6.500],range2 [11.500 - 21.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range6 [59.500 - inf],no
range6 [2375 - inf],range3 [4.500 - 7.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range3 [4.500 - 7.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range1 [-inf - 2.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range4 [28.500 - 40.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range3 [21.500 - 28.500],no
range3 [625 - 1125],range4 [7.500 - 13.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range2 [2.500 - 4.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range3 [21.500 - 28.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range4 [28.500 - 40.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range2 [11.500 - 21.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range4 [1125 - 1625],range4 [7.500 - 13.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range2 [11.500 - 21.500],no
range5 [1625 - 2375],range1 [-inf - 2.500],range5 [6.500 - 9.500],range6 [59.500 - inf],no
range4 [1125 - 1625],range4 [7.500 - 13.500],range4 [4.500 - 6.500],range3 [21.500 - 28.500],no
range3 [625 - 1125],range4 [7.500 - 13.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range3 [21.500 - 28.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range1 [-inf - 375],range2 [2.500 - 4.500],range1 [-inf - 1.500],range1 [-inf - 11.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range5 [1625 - 2375],range5 [13.500 - 16.500],range5 [6.500 - 9.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range3 [625 - 1125],range4 [7.500 - 13.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range2 [11.500 - 21.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range2 [375 - 625],range4 [7.500 - 13.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range5 [40.500 - 59.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range6 [2375 - inf],range3 [4.500 - 7.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range2 [375 - 625],range4 [7.500 - 13.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range4 [7.500 - 13.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range2 [375 - 625],range4 [7.500 - 13.500],range2 [1.500 - 2.500],range1 [-inf - 11.500],no
range4 [1125 - 1625],range1 [-inf - 2.500],range4 [4.500 - 6.500],range6 [59.500 - inf],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range3 [625 - 1125],range1 [-inf - 2.500],range3 [2.500 - 4.500],range4 [28.500 - 40.500],no
range5 [1625 - 2375],range5 [13.500 - 16.500],range5 [6.500 - 9.500],range3 [21.500 - 28.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range4 [28.500 - 40.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range3 [21.500 - 28.500],no
range6 [2375 - inf],range4 [7.500 - 13.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range5 [40.500 - 59.500],no
range2 [375 - 625],range1 [-inf - 2.500],range2 [1.500 - 2.500],range3 [21.500 - 28.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range5 [40.500 - 59.500],no
range2 [375 - 625],range2 [2.500 - 4.500],range2 [1.500 - 2.500],range3 [21.500 - 28.500],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range5 [1625 - 2375],range2 [2.500 - 4.500],range5 [6.500 - 9.500],range6 [59.500 - inf],no
range3 [625 - 1125],range4 [7.500 - 13.500],range3 [2.500 - 4.500],range2 [11.500 - 21.500],no
range6 [2375 - inf],range5 [13.500 - 16.500],range6 [9.500 - inf],range4 [28.500 - 40.500],no
range5 [1625 - 2375],range5 [13.500 - 16.500],range5 [6.500 - 9.500],range3 [21.500 - 28.500],no
range2 [375 - 625],range3 [4.500 - 7.500],range2 [1.500 - 2.500],range2 [11.500 - 21.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range5 [40.500 - 59.500],no
range4 [1125 - 1625],range2 [2.500 - 4.500],range4 [4.500 - 6.500],range5 [40.500 - 59.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range5 [40.500 - 59.500],no
range6 [2375 - inf],range5 [13.500 - 16.500],range6 [9.500 - inf],range5 [40.500 - 59.500],no
range3 [625 - 1125],range2 [2.500 - 4.500],range3 [2.500 - 4.500],range4 [28.500 - 40.500],no
range6 [2375 - inf],range5 [13.500 - 16.500],range6 [9.500 - inf],range6 [59.500 - inf],no
range5 [1625 - 2375],range4 [7.500 - 13.500],range5 [6.500 - 9.500],range5 [40.500 - 59.500],no
range6 [2375 - inf],range5 [13.500 - 16.500],range6 [9.500 - inf],range6 [59.500 - inf],no
