"Alcohol";"Malic acid";"Ash";"Alcalinity of ash";"Magnesium";"Total phenols";"Flavanoids";"Nonflavanoid phenols";"Proanthocyanins";"Color intensity";"Hue";"OD280/OD315 of diluted wines";"Proline";"class"
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[-inf - 88.5]";"[1.7 - 2.4]";"[-inf - 1.1]";"[0.27 - 0.34]";"[-inf - 1.2]";"[-inf - 3.2]";"[1.0 - 1.1]";"[-inf - 1.9]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.2 - 2.4]";"[-inf - 17.1]";"[98.5 - 107.5]";"[1.7 - 2.4]";"[-inf - 1.1]";"[0.43 - inf]";"[-inf - 1.2]";"[3.2 - 4.7]";"[1.1 - inf]";"[-inf - 1.9]";"[673.5 - 987.5]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[98.5 - 107.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.43 - inf]";"[-inf - 1.2]";"[4.7 - 6.2]";"[1.0 - 1.1]";"[-inf - 1.9]";"[-inf - 501.0]";2
"[13.1 - 13.7]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[88.5 - 98.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[-inf - 1.2]";"[3.2 - 4.7]";"[1.1 - inf]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[2.8 - inf]";"[2.9 - inf]";"[-inf - 0.27]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.4 - 2.6]";"[17.1 - 19.6]";"[98.5 - 107.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.43 - inf]";"[-inf - 1.2]";"[-inf - 3.2]";"[1.1 - inf]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[2.6 - inf]";"[17.1 - 19.6]";"[88.5 - 98.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[0.34 - 0.43]";"[2.0 - inf]";"[3.2 - 4.7]";"[1.1 - inf]";"[1.9 - 2.8]";"[673.5 - 987.5]";2
"[13.1 - 13.7]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[-inf - 88.5]";"[2.8 - inf]";"[2.9 - inf]";"[-inf - 0.27]";"[2.0 - inf]";"[4.7 - 6.2]";"[1.0 - 1.1]";"[3.2 - inf]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[19.6 - 21.6]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[-inf - 1.2]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[3.2 - inf]";"[501.0 - 673.5]";2
"[13.1 - 13.7]";"[-inf - 1.6]";"[2.2 - 2.4]";"[-inf - 17.1]";"[107.5 - inf]";"[2.4 - 2.8]";"[1.1 - 2.1]";"[0.43 - inf]";"[-inf - 1.2]";"[-inf - 3.2]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[107.5 - inf]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[-inf - 0.27]";"[2.0 - inf]";"[-inf - 3.2]";"[1.1 - inf]";"[2.8 - 3.2]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[1.6 - 1.9]";"[-inf - 2.2]";"[19.6 - 21.6]";"[98.5 - 107.5]";"[-inf - 1.7]";"[-inf - 1.1]";"[0.34 - 0.43]";"[1.2 - 1.6]";"[-inf - 3.2]";"[0.8 - 1.0]";"[-inf - 1.9]";"[673.5 - 987.5]";2
"[13.7 - inf]";"[-inf - 1.6]";"[2.6 - inf]";"[21.6 - inf]";"[-inf - 88.5]";"[2.8 - inf]";"[2.1 - 2.9]";"[-inf - 0.27]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[13.1 - 13.7]";"[1.6 - 1.9]";"[2.2 - 2.4]";"[21.6 - inf]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[-inf - 1.2]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[1.6 - 1.9]";"[2.6 - inf]";"[21.6 - inf]";"[107.5 - inf]";"[2.8 - inf]";"[2.9 - inf]";"[-inf - 0.27]";"[2.0 - inf]";"[3.2 - 4.7]";"[1.1 - inf]";"[3.2 - inf]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.2 - 2.4]";"[19.6 - 21.6]";"[98.5 - 107.5]";"[2.8 - inf]";"[2.1 - 2.9]";"[-inf - 0.27]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[2.8 - 3.2]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[-inf - 2.2]";"[-inf - 17.1]";"[88.5 - 98.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[-inf - 1.2]";"[3.2 - 4.7]";"[1.1 - inf]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[-inf - 0.27]";"[1.2 - 1.6]";"[3.2 - 4.7]";"[1.1 - inf]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.2 - 2.4]";"[17.1 - 19.6]";"[107.5 - inf]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[-inf - 1.2]";"[-inf - 3.2]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[107.5 - inf]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[2.0 - inf]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[673.5 - 987.5]";2
"[12.3 - 13.1]";"[3.1 - inf]";"[2.4 - 2.6]";"[21.6 - inf]";"[98.5 - 107.5]";"[2.8 - inf]";"[2.1 - 2.9]";"[0.34 - 0.43]";"[1.6 - 2.0]";"[-inf - 3.2]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[0.27 - 0.34]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[1.6 - 1.9]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[1.7 - 2.4]";"[2.1 - 2.9]";"[-inf - 0.27]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.1 - inf]";"[2.8 - 3.2]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.4 - 2.6]";"[21.6 - inf]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.1 - inf]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[3.1 - inf]";"[2.2 - 2.4]";"[21.6 - inf]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.6 - 2.0]";"[4.7 - 6.2]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.6 - inf]";"[17.1 - 19.6]";"[88.5 - 98.5]";"[1.7 - 2.4]";"[2.1 - 2.9]";"[-inf - 0.27]";"[2.0 - inf]";"[-inf - 3.2]";"[0.8 - 1.0]";"[2.8 - 3.2]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[2.2 - 2.4]";"[17.1 - 19.6]";"[98.5 - 107.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.6 - 1.9]";"[2.2 - 2.4]";"[21.6 - inf]";"[88.5 - 98.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.6 - 2.0]";"[-inf - 3.2]";"[1.1 - inf]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.6 - 1.9]";"[2.6 - inf]";"[21.6 - inf]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.1 - inf]";"[3.2 - inf]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.4 - 2.6]";"[21.6 - inf]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.2 - 2.4]";"[21.6 - inf]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.0 - 1.1]";"[3.2 - inf]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[1.6 - 1.9]";"[2.2 - 2.4]";"[17.1 - 19.6]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.6 - 2.0]";"[-inf - 3.2]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.4 - 2.6]";"[21.6 - inf]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[2.2 - 2.4]";"[19.6 - 21.6]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.6 - 2.0]";"[-inf - 3.2]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.2 - 2.4]";"[17.1 - 19.6]";"[-inf - 88.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[-inf - 0.27]";"[2.0 - inf]";"[-inf - 3.2]";"[1.1 - inf]";"[3.2 - inf]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.2 - 2.4]";"[17.1 - 19.6]";"[88.5 - 98.5]";"[2.8 - inf]";"[2.1 - 2.9]";"[-inf - 0.27]";"[1.2 - 1.6]";"[3.2 - 4.7]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[107.5 - inf]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[0.27 - 0.34]";"[2.0 - inf]";"[-inf - 3.2]";"[1.1 - inf]";"[1.9 - 2.8]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.6 - inf]";"[19.6 - 21.6]";"[107.5 - inf]";"[-inf - 1.7]";"[-inf - 1.1]";"[-inf - 0.27]";"[1.6 - 2.0]";"[-inf - 3.2]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[-inf - 17.1]";"[-inf - 88.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[0.27 - 0.34]";"[1.6 - 2.0]";"[-inf - 3.2]";"[1.1 - inf]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[2.8 - inf]";"[2.9 - inf]";"[-inf - 0.27]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[3.1 - inf]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[2.8 - inf]";"[2.9 - inf]";"[0.43 - inf]";"[2.0 - inf]";"[-inf - 3.2]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[-inf - 2.2]";"[17.1 - 19.6]";"[88.5 - 98.5]";"[1.7 - 2.4]";"[2.1 - 2.9]";"[-inf - 0.27]";"[1.2 - 1.6]";"[3.2 - 4.7]";"[1.1 - inf]";"[2.8 - 3.2]";"[673.5 - 987.5]";2
"[12.3 - 13.1]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.4 - 2.6]";"[19.6 - 21.6]";"[88.5 - 98.5]";"[2.4 - 2.8]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[1.2 - 1.6]";"[-inf - 3.2]";"[0.8 - 1.0]";"[3.2 - inf]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.6 - 1.9]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[2.4 - 2.8]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.2 - 1.6]";"[-inf - 3.2]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[1.6 - 1.9]";"[-inf - 2.2]";"[19.6 - 21.6]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.0 - 1.1]";"[3.2 - inf]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[1.9 - 3.1]";"[2.2 - 2.4]";"[21.6 - inf]";"[88.5 - 98.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.2 - 1.6]";"[-inf - 3.2]";"[0.8 - 1.0]";"[3.2 - inf]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.6 - 1.9]";"[-inf - 2.2]";"[17.1 - 19.6]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[1.0 - 1.1]";"[2.8 - 3.2]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[1.6 - 1.9]";"[2.2 - 2.4]";"[21.6 - inf]";"[-inf - 88.5]";"[-inf - 1.7]";"[1.1 - 2.1]";"[0.43 - inf]";"[1.6 - 2.0]";"[3.2 - 4.7]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[17.1 - 19.6]";"[88.5 - 98.5]";"[2.4 - 2.8]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[2.0 - inf]";"[-inf - 3.2]";"[0.8 - 1.0]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.6 - inf]";"[19.6 - 21.6]";"[88.5 - 98.5]";"[2.4 - 2.8]";"[2.9 - inf]";"[0.27 - 0.34]";"[2.0 - inf]";"[-inf - 3.2]";"[0.8 - 1.0]";"[3.2 - inf]";"[673.5 - 987.5]";2
"[-inf - 12.3]";"[3.1 - inf]";"[-inf - 2.2]";"[17.1 - 19.6]";"[98.5 - 107.5]";"[2.8 - inf]";"[2.1 - 2.9]";"[-inf - 0.27]";"[2.0 - inf]";"[-inf - 3.2]";"[-inf - 0.8]";"[2.8 - 3.2]";"[501.0 - 673.5]";2
"[12.3 - 13.1]";"[1.9 - 3.1]";"[-inf - 2.2]";"[19.6 - 21.6]";"[-inf - 88.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[-inf - 0.27]";"[-inf - 1.2]";"[-inf - 3.2]";"[0.8 - 1.0]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[1.9 - 3.1]";"[2.6 - inf]";"[19.6 - 21.6]";"[98.5 - 107.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.43 - inf]";"[-inf - 1.2]";"[3.2 - 4.7]";"[1.1 - inf]";"[1.9 - 2.8]";"[501.0 - 673.5]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.4 - 2.6]";"[19.6 - 21.6]";"[-inf - 88.5]";"[2.4 - 2.8]";"[1.1 - 2.1]";"[0.34 - 0.43]";"[1.2 - 1.6]";"[-inf - 3.2]";"[1.0 - 1.1]";"[1.9 - 2.8]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[2.4 - 2.6]";"[21.6 - inf]";"[-inf - 88.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[0.34 - 0.43]";"[-inf - 1.2]";"[-inf - 3.2]";"[0.8 - 1.0]";"[3.2 - inf]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[19.6 - 21.6]";"[-inf - 88.5]";"[2.4 - 2.8]";"[2.1 - 2.9]";"[0.43 - inf]";"[2.0 - inf]";"[-inf - 3.2]";"[1.1 - inf]";"[2.8 - 3.2]";"[-inf - 501.0]";2
"[-inf - 12.3]";"[-inf - 1.6]";"[-inf - 2.2]";"[19.6 - 21.6]";"[-inf - 88.5]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[1.2 - 1.6]";"[-inf - 3.2]";"[0.8 - 1.0]";"[3.2 - inf]";"[-inf - 501.0]";2
"[12.3 - 13.1]";"[1.6 - 1.9]";"[-inf - 2.2]";"[21.6 - inf]";"[107.5 - inf]";"[1.7 - 2.4]";"[1.1 - 2.1]";"[0.27 - 0.34]";"[1.6 - 2.0]";"[-inf - 3.2]";"[1.0 - 1.1]";"[2.8 - 3.2]";"[-inf - 501.0]";2
